# Frequency (Hz)	EO Bandwidth (dB)
1.00e+08	-0.000039
2.00e+08	-0.000157
3.00e+08	-0.000353
4.00e+08	-0.000628
5.00e+08	-0.000980
6.00e+08	-0.001412
7.00e+08	-0.001922
8.00e+08	-0.002510
9.00e+08	-0.003176
1.00e+09	-0.003921
1.10e+09	-0.004744
1.20e+09	-0.005645
1.30e+09	-0.006624
1.40e+09	-0.007682
1.50e+09	-0.008817
1.60e+09	-0.010031
1.70e+09	-0.011322
1.80e+09	-0.012692
1.90e+09	-0.014139
2.00e+09	-0.015664
2.10e+09	-0.017267
2.20e+09	-0.018947
2.30e+09	-0.020705
2.40e+09	-0.022541
2.50e+09	-0.024454
2.60e+09	-0.026444
2.70e+09	-0.028511
2.80e+09	-0.030656
2.90e+09	-0.032877
3.00e+09	-0.035176
3.10e+09	-0.037551
3.20e+09	-0.040003
3.30e+09	-0.042531
3.40e+09	-0.045136
3.50e+09	-0.047818
3.60e+09	-0.050575
3.70e+09	-0.053409
3.80e+09	-0.056318
3.90e+09	-0.059304
4.00e+09	-0.062365
4.10e+09	-0.065501
4.20e+09	-0.068713
4.30e+09	-0.072001
4.40e+09	-0.075363
4.50e+09	-0.078800
4.60e+09	-0.082312
4.70e+09	-0.085899
4.80e+09	-0.089561
4.90e+09	-0.093296
5.00e+09	-0.097106
5.10e+09	-0.100990
5.20e+09	-0.104947
5.30e+09	-0.108978
5.40e+09	-0.113083
5.50e+09	-0.117261
5.60e+09	-0.121512
5.70e+09	-0.125835
5.80e+09	-0.130232
5.90e+09	-0.134701
6.00e+09	-0.139242
6.10e+09	-0.143856
6.20e+09	-0.148541
6.30e+09	-0.153298
6.40e+09	-0.158126
6.50e+09	-0.163026
6.60e+09	-0.167997
6.70e+09	-0.173038
6.80e+09	-0.178151
6.90e+09	-0.183333
7.00e+09	-0.188586
7.10e+09	-0.193909
7.20e+09	-0.199301
7.30e+09	-0.204763
7.40e+09	-0.210295
7.50e+09	-0.215895
7.60e+09	-0.221564
7.70e+09	-0.227301
7.80e+09	-0.233107
7.90e+09	-0.238981
8.00e+09	-0.244923
8.10e+09	-0.250932
8.20e+09	-0.257009
8.30e+09	-0.263152
8.40e+09	-0.269363
8.50e+09	-0.275640
8.60e+09	-0.281983
8.70e+09	-0.288392
8.80e+09	-0.294867
8.90e+09	-0.301407
9.00e+09	-0.308013
9.10e+09	-0.314684
9.20e+09	-0.321419
9.30e+09	-0.328219
9.40e+09	-0.335082
9.50e+09	-0.342010
9.60e+09	-0.349001
9.70e+09	-0.356056
9.80e+09	-0.363173
9.90e+09	-0.370353
1.00e+10	-0.377596
1.01e+10	-0.384901
1.02e+10	-0.392268
1.03e+10	-0.399696
1.04e+10	-0.407186
1.05e+10	-0.414736
1.06e+10	-0.422347
1.07e+10	-0.430019
1.08e+10	-0.437751
1.09e+10	-0.445543
1.10e+10	-0.453394
1.11e+10	-0.461304
1.12e+10	-0.469273
1.13e+10	-0.477301
1.14e+10	-0.485387
1.15e+10	-0.493532
1.16e+10	-0.501734
1.17e+10	-0.509993
1.18e+10	-0.518310
1.19e+10	-0.526683
1.20e+10	-0.535113
1.21e+10	-0.543598
1.22e+10	-0.552140
1.23e+10	-0.560738
1.24e+10	-0.569390
1.25e+10	-0.578098
1.26e+10	-0.586860
1.27e+10	-0.595676
1.28e+10	-0.604547
1.29e+10	-0.613471
1.30e+10	-0.622448
1.31e+10	-0.631479
1.32e+10	-0.640562
1.33e+10	-0.649698
1.34e+10	-0.658885
1.35e+10	-0.668125
1.36e+10	-0.677416
1.37e+10	-0.686758
1.38e+10	-0.696151
1.39e+10	-0.705595
1.40e+10	-0.715088
1.41e+10	-0.724632
1.42e+10	-0.734225
1.43e+10	-0.743867
1.44e+10	-0.753558
1.45e+10	-0.763298
1.46e+10	-0.773086
1.47e+10	-0.782922
1.48e+10	-0.792806
1.49e+10	-0.802737
1.50e+10	-0.812715
1.51e+10	-0.822740
1.52e+10	-0.832811
1.53e+10	-0.842928
1.54e+10	-0.853090
1.55e+10	-0.863299
1.56e+10	-0.873552
1.57e+10	-0.883850
1.58e+10	-0.894192
1.59e+10	-0.904579
1.60e+10	-0.915009
1.61e+10	-0.925483
1.62e+10	-0.936000
1.63e+10	-0.946559
1.64e+10	-0.957162
1.65e+10	-0.967806
1.66e+10	-0.978492
1.67e+10	-0.989220
1.68e+10	-0.999990
1.69e+10	-1.010800
1.70e+10	-1.021651
1.71e+10	-1.032542
1.72e+10	-1.043473
1.73e+10	-1.054443
1.74e+10	-1.065454
1.75e+10	-1.076503
1.76e+10	-1.087591
1.77e+10	-1.098717
1.78e+10	-1.109882
1.79e+10	-1.121084
1.80e+10	-1.132324
1.81e+10	-1.143601
1.82e+10	-1.154915
1.83e+10	-1.166265
1.84e+10	-1.177652
